id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
1f2bcfd7-cd5d-4c99-b04d-cfbb00e0f987,familyrestaurant.courses,available,2.19,38.99,high,low,17,namesilo,,
de1eed11-d4e1-4131-9d10-df34aef6b0bb,want.courses,available,49.99,,high,low,4,name.com,,
6e1389a8-e6a1-4b05-8c0c-6e4891cb9f54,potato.courses,available,2.19,38.99,high,low,6,namesilo,,
15158030-6b83-42e1-88f3-4cf8b481b2db,plentiful.courses,available,2.19,38.99,high,low,9,namesilo,,
4255e9f0-c9d6-4fc1-aaae-a1eb2f1bd5bd,country.courses,available,,,high,low,7,,,
fd29494e-2770-4e9f-8225-b2cfc91c9c8e,asopposedto.courses,available,2.19,38.99,medium,low,13,namesilo,,
2167655f-e2dc-4759-bd7c-7309fe2f62d9,absorbed.courses,available,43.99,46.99,high,low,8,name.com,,
b482eb19-93ff-4b4c-bcde-e32cde1d4b12,talk.courses,available,2.19,38.99,high,low,4,namesilo,,
e8f74d72-ff2e-49be-ac7d-7f60dd6fddba,keepgoodtime.courses,available,49.99,,high,low,14,name.com,,
7c31c676-4993-4539-9b47-481445fa6792,officelandscape.courses,available,2.19,38.99,high,low,16,namesilo,,
6ad552a1-d54e-4aac-a3ff-c7b9a7cf3636,fatal.courses,available,2.19,38.99,high,low,5,namesilo,,
c285c6d2-35be-4b00-800f-0c6680f06270,improvize.courses,available,1.98,50.98,low,low,9,namecheap,,
3fab2ad8-4cd5-4d9e-94ee-ab85cb16cd16,morgan.courses,available,,,medium,low,6,,,
d3948ec0-4982-411e-966c-98b06a9e9e0e,coffeeman.courses,available,2.19,38.99,high,low,9,namesilo,,
a5b34e63-4db6-402d-a74e-dad567295290,disabled.courses,available,43.99,46.99,high,low,8,name.com,,
84ee1975-ede5-4f79-acf6-f81df22d8a33,saucepan.courses,available,2.19,38.99,high,low,8,namesilo,,
aaa3ad05-5ce3-4575-baf0-3e54e772aa68,oatmealcake.courses,available,2.19,38.99,high,low,12,namesilo,,
c55da58c-c73b-4095-8d66-6408f7ebeb5d,swiftly.courses,available,49.99,,medium,low,7,name.com,,
6168d365-2365-464b-8646-132645892b60,endorse.courses,available,2.19,38.99,high,low,7,namesilo,,
5db41b45-d61b-4c78-9f9f-7d08a8e78b7c,lottery.courses,available,2.19,38.99,high,low,7,namesilo,,
54729dbc-8d73-4065-8831-e95da6c9e93d,account.courses,premium,650,650,high,low,7,namecheap,,
f31d310f-528a-418e-b476-fb0e3cbe9ebd,getwiththetimes.courses,available,49.99,,high,low,18,name.com,,
cdc03ce4-ddb9-4d42-b424-4b94ab752a85,provisions.courses,available,2.19,38.99,high,low,10,namesilo,,
ec3f901d-9d2f-4823-a473-950b390d4b44,believe.courses,available,43.99,,high,low,7,name.com,,
8576d31d-6fe1-48b3-8e13-57f65a451149,she.courses,premium,625,,high,low,3,name.com,,
f6c8546e-bb30-4d22-8b0b-489dc8f15161,potatocrisp.courses,available,2.19,38.99,high,low,12,namesilo,,
6d6a6ede-b54c-4442-9544-174920304725,acceptable.courses,available,43.99,46.99,high,low,10,name.com,,
eaf254c5-9bbf-4cf3-a1fa-bb8cac672ad9,los.courses,premium,625,,high,low,3,name.com,,
9618c976-7724-47d6-8763-b1f58c22c6e3,Shakespeare.courses,premium,242,242,high,low,11,namesilo,,
fd7c44e6-ac00-41f2-99a8-d4d27c16afda,lp.courses,premium,1107,1107,medium,low,3,namesilo,,
bd1ebe11-1e9a-42b1-9244-d798d0e16648,compliant.courses,available,43.99,46.99,medium,low,9,name.com,,
4746031e-bf3a-43c9-be4c-ab1d65c927f1,absence.courses,available,2.19,38.99,medium,low,7,namesilo,,
ece76389-14e5-47d4-9da7-33c36c27edc8,Keys.courses,available,,,medium,medium,4,,,
